id_certificate_parents,id_certificate_partners,family_line,levenshtein_total_bride,levenshtein_max_bride,levenshtein_total_groom,levenshtein_max_groom,matched_names_bride,number_names_mother,number_names_bride,matched_names_groom,number_names_father,number_names_groom,year_diff
100222,34850,21,0,0,0,0,1,1,1,1,1,1,18
100223,35509,21,2,0,1,0,1,1,1,1,1,1,46
100224,6255,21,0,0,0,0,1,1,1,1,1,1,37
100225,58184,21,1,0,0,0,3,3,3,1,1,1,33
100226,42271,22,0,0,0,0,1,1,1,1,1,1,28
100229,26472,21,0,0,0,0,1,1,1,1,1,1,53
100229,36372,22,0,0,0,0,1,1,1,1,1,1,65
100230,69252,21,0,0,0,0,1,1,1,1,1,1,41
100231,1712,21,1,0,0,0,1,1,1,1,1,1,20
100231,78873,22,2,0,1,1,1,1,1,1,1,1,33
100232,50527,21,0,0,0,0,1,1,1,1,1,1,32
100232,10900,22,0,0,0,0,1,1,1,1,1,1,29
100234,95410,22,1,0,4,2,1,1,1,2,2,2,36
100236,15294,21,0,0,0,0,1,1,1,1,1,1,34
100237,18937,21,0,0,0,0,1,1,1,1,1,1,43
100237,15455,22,0,0,0,0,1,1,1,1,1,1,26
100238,49168,22,0,0,1,0,2,2,2,1,1,1,22
10024,17327,21,0,0,0,0,1,1,1,1,1,1,40
100241,21648,21,0,0,0,0,1,1,1,1,1,1,33
100242,23064,21,0,0,0,0,1,1,1,1,1,1,30
100242,56392,22,0,0,0,0,2,2,2,1,1,1,31
100243,12232,21,0,0,0,0,1,1,1,1,1,1,26
100243,46748,22,0,0,0,0,1,1,1,1,1,1,39
100245,80699,21,0,0,0,0,2,2,2,2,2,2,38
100245,58736,22,0,0,0,0,1,1,1,1,1,1,40
100247,7456,21,0,0,0,0,1,1,1,2,2,2,39
100248,57523,21,0,0,0,0,1,1,1,1,1,1,20
100248,27542,22,0,0,0,0,1,1,1,1,1,1,31
100249,25381,22,0,0,0,0,1,1,1,1,1,1,32
10025,99420,21,0,0,0,0,1,1,1,1,1,1,29
100251,59211,22,0,0,0,0,2,2,2,2,2,2,28
100253,82959,21,0,0,0,0,1,1,1,1,1,1,32
100253,72177,22,0,0,0,0,1,1,1,1,1,1,35
100254,67386,21,0,0,0,0,1,1,1,1,1,1,26
100256,52794,21,0,0,0,0,1,1,1,1,1,1,56
100256,45402,22,0,0,0,0,1,1,1,1,1,1,58
100258,7021,21,1,0,2,2,2,2,2,2,2,2,30
100258,75888,22,0,0,0,0,1,1,1,1,1,1,39
10026,4792,21,0,0,0,0,1,1,1,2,2,2,31
10026,59656,22,0,0,0,0,2,2,3,1,1,1,32
100261,100027,21,0,0,0,0,2,2,2,1,1,1,33
100262,54358,21,0,0,0,0,1,1,1,1,1,1,31
100262,75258,22,0,0,0,0,2,2,2,1,1,1,49
100264,28013,22,0,0,0,0,1,1,1,1,1,1,42
100266,40538,21,0,0,0,0,1,1,1,1,1,1,38
100266,52480,22,0,0,0,0,1,1,1,2,2,2,33
100267,24765,21,0,0,0,0,1,1,1,1,1,1,29
10027,28467,21,0,0,0,0,2,2,2,3,3,3,58
100270,49394,21,0,0,1,0,3,3,3,1,1,1,21
100270,18725,22,0,0,0,0,2,2,2,1,1,1,27
100271,34932,21,0,0,1,0,2,2,2,2,2,2,28
100272,90369,22,0,0,0,0,1,1,1,1,1,1,30
100273,71021,21,0,0,0,0,1,1,1,1,1,1,42
100274,61657,21,2,2,0,0,1,1,1,1,1,1,19
100274,100613,21,0,0,0,0,1,1,1,1,1,1,51
100274,30170,22,0,0,0,0,2,2,2,1,1,1,42
100275,80517,21,2,2,0,0,1,1,1,1,1,1,24
100276,77529,22,0,0,0,0,2,2,2,2,2,2,36
100279,16291,21,0,0,0,0,2,2,2,1,1,1,37
100279,34648,22,0,0,0,0,1,1,1,1,1,1,39
10028,39505,21,0,0,1,1,1,1,1,1,1,1,37
10028,27215,22,0,0,0,0,1,1,1,1,1,1,23
100280,41439,21,0,0,1,0,3,3,3,1,1,1,37
100281,35345,21,0,0,0,0,1,1,1,1,1,1,26
100282,87670,22,0,0,0,0,1,1,1,1,1,1,32
100283,25850,22,0,0,0,0,1,1,1,1,1,1,38
100284,75279,21,0,0,0,0,1,1,1,1,1,1,39
100288,40630,21,0,0,0,0,2,2,2,1,1,1,30
100288,34444,22,2,0,0,0,1,1,1,2,2,2,23
10029,2120,21,0,0,0,0,1,1,1,1,1,1,35
10029,22055,22,0,0,0,0,1,1,1,1,1,1,24
100290,51801,21,0,0,0,0,1,1,1,2,2,2,25
100290,69964,22,0,0,0,0,1,1,1,2,2,2,24
100292,64223,21,0,0,0,0,2,2,2,2,2,2,36
100292,34411,22,0,0,0,0,3,3,3,2,2,2,32
100293,8731,21,0,0,0,0,2,2,2,1,1,1,45
100296,44024,21,0,0,0,0,2,2,2,1,1,1,46
100297,65526,21,0,0,0,0,1,1,1,1,1,1,38
100297,5483,22,1,0,0,0,1,1,1,2,2,2,39
100298,51479,21,0,0,0,0,1,1,1,1,1,1,38
100298,15325,22,0,0,0,0,1,1,1,1,1,1,29
100299,69351,21,0,0,0,0,1,1,1,1,1,1,23
100299,20737,22,0,0,0,0,1,1,1,1,1,1,27
1003,38087,21,0,0,0,0,1,1,1,2,2,2,30
10030,89518,21,0,0,0,0,1,1,1,1,1,1,25
10030,4917,22,0,0,0,0,1,1,1,1,1,1,36
100300,43973,21,0,0,0,0,1,1,1,1,1,1,42
100300,61789,22,1,0,0,0,2,2,2,1,1,1,41
100302,94895,21,0,0,0,0,1,1,1,1,1,1,24
100302,81240,22,0,0,0,0,1,1,1,1,1,1,21
100303,72694,21,0,0,0,0,1,1,1,1,1,1,43
100303,95923,22,0,0,0,0,1,1,1,1,1,1,30
100304,54643,22,0,0,0,0,1,1,2,1,1,1,28
100309,76759,22,0,0,0,0,1,1,1,1,1,1,40
100311,15907,21,0,0,0,0,1,1,1,1,1,1,34
100311,94438,22,0,0,0,0,1,1,1,1,1,1,24
100312,37964,22,0,0,0,0,1,1,1,1,1,1,30
100313,87163,21,1,0,0,0,1,1,1,1,1,1,26
100313,75802,22,0,0,0,0,1,1,1,1,1,1,34
100314,50480,21,0,0,0,0,2,2,2,2,2,2,31
100315,24371,21,0,0,0,0,1,1,1,2,2,2,20
100315,38765,22,0,0,0,0,2,2,2,1,1,1,26
100316,36853,21,0,0,0,0,1,1,1,1,1,1,37
100316,22671,22,0,0,0,0,1,1,1,1,1,1,39
100317,83673,21,0,0,0,0,2,2,2,1,1,1,35
100318,86489,21,0,0,0,0,1,1,1,1,1,1,21
100318,61654,22,0,0,0,0,1,1,1,1,1,1,36
10032,43910,22,0,0,0,0,2,2,2,2,2,2,39
100320,31573,21,0,0,0,0,2,2,2,1,1,1,30
100321,34536,21,0,0,0,0,1,1,1,1,1,1,23
100321,34258,22,0,0,0,0,1,1,1,1,1,1,39
100322,76117,22,0,0,0,0,1,1,1,1,1,1,39
100323,64537,21,0,0,0,0,1,1,1,1,1,1,37
100323,62074,22,0,0,0,0,1,1,1,1,1,1,27
100324,86346,22,1,0,0,0,1,1,1,1,1,1,43
100325,80123,21,0,0,1,1,1,1,1,1,1,1,43
100325,19947,22,0,0,0,0,1,1,1,1,1,1,41
10033,19143,21,2,2,0,0,2,2,2,1,1,1,53
10033,11580,22,1,0,0,0,1,1,1,1,1,1,47
100331,4627,21,0,0,1,0,1,1,1,1,1,1,35
100331,54917,22,0,0,0,0,1,1,1,1,1,1,33
100332,9245,21,0,0,0,0,1,1,1,1,1,1,28
100336,82736,21,0,0,0,0,1,1,1,1,1,1,27
100337,15557,21,0,0,0,0,1,1,1,1,1,1,32
100337,17721,22,0,0,0,0,1,1,1,1,1,1,28
10034,89210,21,0,0,0,0,1,1,1,1,1,1,40
100340,88730,21,0,0,0,0,1,1,1,1,1,1,32
100340,49675,22,0,0,0,0,1,1,1,1,1,1,33
100341,62528,21,0,0,0,0,1,1,1,1,1,1,42
100341,18212,22,0,0,3,1,2,2,2,2,2,2,31
100343,68760,21,0,0,0,0,1,1,1,1,1,1,46
100343,26223,22,0,0,0,0,1,1,1,1,1,1,41
100344,13277,22,0,0,0,0,1,1,1,1,1,1,28
100345,75693,21,0,0,0,0,1,1,1,1,1,1,28
100345,36091,22,0,0,0,0,1,1,1,1,1,1,29
100346,11670,22,0,0,0,0,1,1,1,2,2,2,32
100347,6593,21,0,0,0,0,1,1,1,1,1,1,28
100347,51569,22,1,0,0,0,2,2,2,1,1,1,22
100348,38847,21,0,0,0,0,2,2,2,1,1,1,30
100349,91135,21,0,0,0,0,1,1,1,1,1,1,34
100349,65545,22,0,0,0,0,1,1,1,1,1,1,38
100350,53834,21,0,0,0,0,2,2,2,1,1,1,36
100350,73552,22,0,0,0,0,1,1,1,1,1,1,46
100351,1636,21,0,0,0,0,1,1,1,1,1,1,24
100351,85874,22,0,0,0,0,1,1,1,1,1,1,46
100352,44711,21,1,0,1,0,1,1,1,1,1,1,31
100354,14264,22,0,0,0,0,1,1,1,1,1,1,24
100355,85249,22,0,0,0,0,1,1,1,1,1,1,28
100358,39617,21,2,2,0,0,1,1,1,1,1,1,35
10036,92092,22,0,0,0,0,1,1,1,1,1,1,45
100360,71739,21,0,0,0,0,1,1,1,1,1,1,24
100360,67924,22,0,0,0,0,1,1,1,1,1,1,26
100362,71313,22,0,0,0,0,1,1,1,1,1,1,30
100366,23797,21,0,0,0,0,2,2,2,1,1,1,23
100366,46942,22,0,0,0,0,2,2,2,1,1,1,43
100367,17528,21,0,0,2,2,1,1,1,1,1,1,24
10037,88604,21,0,0,0,0,1,1,1,1,1,1,34
100370,21286,22,0,0,0,0,1,1,1,1,1,1,38
100371,60604,21,0,0,0,0,2,2,2,2,2,2,24
100371,65155,22,0,0,0,0,2,2,2,2,2,2,24
